gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,-1.2261056894302387,1,1,0.3881836463053694,-0.9251101965278907,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,-1.2774445836787656,1,1,0.3868100911197414,-0.9720734587287416,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,0.5956921474426305,1,0,-1.3364733980525287,-0.49380911580518105,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,1,0,1.6137012404433893,1,0,0.6543594081464871,1.6559208325795682,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0,0,0,-1.1350304099233826,1,1,0.37269792877307767,-0.8565617028378008,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0.884203174386905,1,1,1.3100586816326996,1.325760602451321,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.22920887396235737,1,1,-1.3464441800535252,-0.6023621729301679,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,0,1.5729808767233588,1,1,0.9052907551715716,1.8994979219463848,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0
0,0,0,0,-1.239294892823296,1,1,0.19642105125712023,-0.9411415836833659,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.1145631287986442,1,1,0.5064594751317021,-0.8237918797825595,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,-1.252282983100651,1,1,-0.20307588126967413,-0.9607050508188877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1,0,0,0,-0.30015585439803716,1,1,-1.4827115340671475,-0.7691513753122096,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1
0,0,1,1,-0.7073594915983407,1,1,1.3489905542159264,-0.31786536786189806,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,-1.2774445836787656,1,0,-0.5072366949696331,-0.9839412792394595,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0.43281069256250915,1,1,1.3240635992134344,1.0941846814542295,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
1,0,1,1,0.7178532386027215,0,1,-0.8412578920030237,-0.11399474117034576,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,0,0,0,-1.2774445836787656,1,1,0.5648223284368415,-0.9697104758132373,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,-1.2774445836787656,1,1,0.14751132309581955,-0.9752499757427628,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,0,-0.748079855318371,1,1,0.5945347161405068,-0.4829780751532062,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,0,-0.974248145651297,1,0,-1.4193180359779618,-0.9247591380294876,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0
1,0,1,1,1.5322605130033284,1,1,0.7042133181514708,1.611206943778034,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
0,0,1,0,1.5729808767233588,1,0,0.5679459641378485,1.6079642493262207,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,0,0,0.5956921474426305,1,0,0.35523594811658493,0.5582577310678124,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,-0.6666391278783103,0,1,-0.8562140650045189,-0.7058416264910934,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,-1.1960038562387048,1,1,0.3502505571160864,-0.8980870832771656,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0
1,0,1,0,0.40846926969983693,1,1,1.0570114228523633,0.7362042743581418,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1,1,0,0,-1.1960038562387048,1,1,0.50313588113137,-0.8906752102444494,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,1,1,-0.7073594915983407,0,1,-1.1486903370337564,-0.7985782759837665,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,-1.1960038562387048,1,1,0.4200460311230638,-0.9148299750385687,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0,0,0,-0.9109613101984924,1,1,-1.4478137970636586,-0.9075504568814369,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0
1,0,1,0,1.1657772395230555,1,0,0.35191235411625243,1.0807065432905703,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0
1,0,1,0,-1.2774445836787656,1,1,0.14584952609565352,-0.9752720348886934,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,1.6137012404433893,1,0,-0.00038860991896550476,1.1139937945,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
1,1,1,0,1.0436161483629645,1,1,1.465316344227555,1.7680474713453287,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0
1,0,0,0,-1.1651986027423245,1,1,0.18034262770493817,-0.9068125666649374,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,0,0,-0.38159658183809786,1,1,0.35357415111641893,-0.2806736478227337,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1.2774445836787656,1,1,0.17489387603063708,-0.9748864922781255,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,-1.1145631287986442,1,1,0.5264010391336954,-0.8224462718807867,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,1.4915401492832983,1,1,-1.517609271070636,-0.44598488742741815,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
1,0,0,0,-1.2600472371851448,1,1,0.2531347718019313,-0.9524542006260872,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.1552834925186746,1,1,0.21517747335117426,-0.8837749140749165,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,-0.21871512695797646,1,1,0.6659919871476498,0.013154175974223466,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
1,0,0,0,-1.2367242199587352,1,1,0.21161028925660877,-0.9469726320930621,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1.6137012404433893,1,1,0.8703930181680831,1.8480559936359868,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
